Number of nodes = 6109
mode number = 328, l = 18, m = -14
mode number = 329, l = 18, m = -13
mode number = 330, l = 18, m = -12
mode number = 331, l = 18, m = -11
mode number = 332, l = 18, m = -10
mode number = 333, l = 18, m = -9
mode number = 334, l = 18, m = -8
mode number = 335, l = 18, m = -7
mode number = 336, l = 18, m = -6
mode number = 337, l = 18, m = -5
mode number = 338, l = 18, m = -4
mode number = 339, l = 18, m = -3
mode number = 340, l = 18, m = -2
mode number = 341, l = 18, m = -1
mode number = 342, l = 18, m = 0
mode number = 343, l = 18, m = 1
mode number = 344, l = 18, m = 2
mode number = 345, l = 18, m = 3
mode number = 346, l = 18, m = 4
mode number = 347, l = 18, m = 5
mode number = 348, l = 18, m = 6
mode number = 349, l = 18, m = 7
mode number = 350, l = 18, m = 8
mode number = 351, l = 18, m = 9
mode number = 352, l = 18, m = 10
mode number = 353, l = 18, m = 11
mode number = 354, l = 18, m = 12
mode number = 355, l = 18, m = 13
mode number = 356, l = 18, m = 14
mode number = 357, l = 18, m = 15
mode number = 358, l = 18, m = 16
mode number = 359, l = 18, m = 17
mode number = 360, l = 18, m = 18
mode number = 361, l = 19, m = -19
mode number = 362, l = 19, m = -18
mode number = 363, l = 19, m = -17
mode number = 364, l = 19, m = -16
mode number = 365, l = 19, m = -15
mode number = 366, l = 19, m = -14
mode number = 367, l = 19, m = -13
mode number = 368, l = 19, m = -12
mode number = 369, l = 19, m = -11
mode number = 370, l = 19, m = -10
mode number = 371, l = 19, m = -9
mode number = 372, l = 19, m = -8
mode number = 373, l = 19, m = -7
mode number = 374, l = 19, m = -6
mode number = 375, l = 19, m = -5
mode number = 376, l = 19, m = -4
mode number = 377, l = 19, m = -3
mode number = 378, l = 19, m = -2
mode number = 379, l = 19, m = -1
mode number = 380, l = 19, m = 0
mode number = 381, l = 19, m = 1
mode number = 382, l = 19, m = 2
mode number = 383, l = 19, m = 3
mode number = 384, l = 19, m = 4
mode number = 385, l = 19, m = 5
mode number = 386, l = 19, m = 6
mode number = 387, l = 19, m = 7
mode number = 388, l = 19, m = 8
mode number = 389, l = 19, m = 9
mode number = 390, l = 19, m = 10
mode number = 391, l = 19, m = 11
mode number = 392, l = 19, m = 12
mode number = 393, l = 19, m = 13
mode number = 394, l = 19, m = 14
mode number = 395, l = 19, m = 15
mode number = 396, l = 19, m = 16
mode number = 397, l = 19, m = 17
mode number = 398, l = 19, m = 18
mode number = 399, l = 19, m = 19
mode number = 400, l = 20, m = -20
mode number = 401, l = 20, m = -19
mode number = 402, l = 20, m = -18
mode number = 403, l = 20, m = -17
mode number = 404, l = 20, m = -16
mode number = 405, l = 20, m = -15
mode number = 406, l = 20, m = -14
mode number = 407, l = 20, m = -13
mode number = 408, l = 20, m = -12
mode number = 409, l = 20, m = -11
mode number = 410, l = 20, m = -10
mode number = 411, l = 20, m = -9
mode number = 412, l = 20, m = -8
mode number = 413, l = 20, m = -7
mode number = 414, l = 20, m = -6
mode number = 415, l = 20, m = -5
mode number = 416, l = 20, m = -4
mode number = 417, l = 20, m = -3
mode number = 418, l = 20, m = -2
mode number = 419, l = 20, m = -1
mode number = 420, l = 20, m = 0
mode number = 421, l = 20, m = 1
mode number = 422, l = 20, m = 2
mode number = 423, l = 20, m = 3
mode number = 424, l = 20, m = 4
mode number = 425, l = 20, m = 5
mode number = 426, l = 20, m = 6
mode number = 427, l = 20, m = 7
mode number = 428, l = 20, m = 8
mode number = 429, l = 20, m = 9
mode number = 430, l = 20, m = 10
mode number = 431, l = 20, m = 11
mode number = 432, l = 20, m = 12
mode number = 433, l = 20, m = 13
mode number = 434, l = 20, m = 14
mode number = 435, l = 20, m = 15
mode number = 436, l = 20, m = 16
mode number = 437, l = 20, m = 17
mode number = 438, l = 20, m = 18
mode number = 439, l = 20, m = 19
mode number = 440, l = 20, m = 20
mode number = 441, l = 21, m = -21
mode number = 442, l = 21, m = -20
mode number = 443, l = 21, m = -19
mode number = 444, l = 21, m = -18
mode number = 445, l = 21, m = -17
mode number = 446, l = 21, m = -16
mode number = 447, l = 21, m = -15
mode number = 448, l = 21, m = -14
mode number = 449, l = 21, m = -13
mode number = 450, l = 21, m = -12
mode number = 451, l = 21, m = -11
mode number = 452, l = 21, m = -10
mode number = 453, l = 21, m = -9
mode number = 454, l = 21, m = -8
mode number = 455, l = 21, m = -7
mode number = 456, l = 21, m = -6
mode number = 457, l = 21, m = -5
mode number = 458, l = 21, m = -4
mode number = 459, l = 21, m = -3
mode number = 460, l = 21, m = -2
mode number = 461, l = 21, m = -1
mode number = 462, l = 21, m = 0
mode number = 463, l = 21, m = 1
mode number = 464, l = 21, m = 2
mode number = 465, l = 21, m = 3
mode number = 466, l = 21, m = 4
mode number = 467, l = 21, m = 5
mode number = 468, l = 21, m = 6
mode number = 469, l = 21, m = 7
mode number = 470, l = 21, m = 8
mode number = 471, l = 21, m = 9
mode number = 472, l = 21, m = 10
mode number = 473, l = 21, m = 11
mode number = 474, l = 21, m = 12
mode number = 475, l = 21, m = 13
mode number = 476, l = 21, m = 14
mode number = 477, l = 21, m = 15
mode number = 478, l = 21, m = 16
mode number = 479, l = 21, m = 17
mode number = 480, l = 21, m = 18
mode number = 481, l = 21, m = 19
mode number = 482, l = 21, m = 20
mode number = 483, l = 21, m = 21
mode number = 484, l = 22, m = -22
mode number = 485, l = 22, m = -21
mode number = 486, l = 22, m = -20
mode number = 487, l = 22, m = -19
mode number = 488, l = 22, m = -18
mode number = 489, l = 22, m = -17
mode number = 490, l = 22, m = -16
mode number = 491, l = 22, m = -15
mode number = 492, l = 22, m = -14
mode number = 493, l = 22, m = -13
mode number = 494, l = 22, m = -12
mode number = 495, l = 22, m = -11
mode number = 496, l = 22, m = -10
mode number = 497, l = 22, m = -9
mode number = 498, l = 22, m = -8
mode number = 499, l = 22, m = -7
mode number = 500, l = 22, m = -6
mode number = 501, l = 22, m = -5
mode number = 502, l = 22, m = -4
mode number = 503, l = 22, m = -3
mode number = 504, l = 22, m = -2
mode number = 505, l = 22, m = -1
mode number = 506, l = 22, m = 0
mode number = 507, l = 22, m = 1
mode number = 508, l = 22, m = 2
mode number = 509, l = 22, m = 3
mode number = 510, l = 22, m = 4
mode number = 511, l = 22, m = 5
mode number = 512, l = 22, m = 6
mode number = 513, l = 22, m = 7
mode number = 514, l = 22, m = 8
mode number = 515, l = 22, m = 9
mode number = 516, l = 22, m = 10
mode number = 517, l = 22, m = 11
mode number = 518, l = 22, m = 12
mode number = 519, l = 22, m = 13
mode number = 520, l = 22, m = 14
mode number = 521, l = 22, m = 15
mode number = 522, l = 22, m = 16
mode number = 523, l = 22, m = 17
mode number = 524, l = 22, m = 18
mode number = 525, l = 22, m = 19
mode number = 526, l = 22, m = 20
mode number = 527, l = 22, m = 21
mode number = 528, l = 22, m = 22
mode number = 529, l = 23, m = -23
mode number = 530, l = 23, m = -22
mode number = 531, l = 23, m = -21
mode number = 532, l = 23, m = -20
mode number = 533, l = 23, m = -19
mode number = 534, l = 23, m = -18
mode number = 535, l = 23, m = -17
mode number = 536, l = 23, m = -16
mode number = 537, l = 23, m = -15
mode number = 538, l = 23, m = -14
mode number = 539, l = 23, m = -13
mode number = 540, l = 23, m = -12
mode number = 541, l = 23, m = -11
mode number = 542, l = 23, m = -10
mode number = 543, l = 23, m = -9
mode number = 544, l = 23, m = -8
mode number = 545, l = 23, m = -7
mode number = 546, l = 23, m = -6
mode number = 547, l = 23, m = -5
mode number = 548, l = 23, m = -4
mode number = 549, l = 23, m = -3
mode number = 550, l = 23, m = -2
mode number = 551, l = 23, m = -1
mode number = 552, l = 23, m = 0
mode number = 553, l = 23, m = 1
mode number = 554, l = 23, m = 2
mode number = 555, l = 23, m = 3
mode number = 556, l = 23, m = 4
mode number = 557, l = 23, m = 5
mode number = 558, l = 23, m = 6
mode number = 559, l = 23, m = 7
mode number = 560, l = 23, m = 8
mode number = 561, l = 23, m = 9
mode number = 562, l = 23, m = 10
mode number = 563, l = 23, m = 11
mode number = 564, l = 23, m = 12
mode number = 565, l = 23, m = 13
mode number = 566, l = 23, m = 14
mode number = 567, l = 23, m = 15
mode number = 568, l = 23, m = 16
mode number = 569, l = 23, m = 17
mode number = 570, l = 23, m = 18
mode number = 571, l = 23, m = 19
mode number = 572, l = 23, m = 20
mode number = 573, l = 23, m = 21
mode number = 574, l = 23, m = 22
mode number = 575, l = 23, m = 23
mode number = 576, l = 24, m = -24
mode number = 577, l = 24, m = -23
mode number = 578, l = 24, m = -22
mode number = 579, l = 24, m = -21
mode number = 580, l = 24, m = -20
mode number = 581, l = 24, m = -19
mode number = 582, l = 24, m = -18
mode number = 583, l = 24, m = -17
mode number = 584, l = 24, m = -16
mode number = 585, l = 24, m = -15
mode number = 586, l = 24, m = -14
